Ano;Veículo;Título;Autores;Número;Volume;Local;Página Inicial;Página Final
2016;AHaM;Function-based hybrid database;2680213629710193;30;10;;13;525
2014;NaS;Re-contextualized directional project;6337438064578677;48;47;;34;295
2014;RaS;Phased empowering definition;9611539741215920,5244357431315552;24;;Lorishire;540;715
2016;PMaH;Polarized 3rdgeneration capability;3722297188543195,3144341430664049;12;23;;378;596
2014;AaS;Stand-alone logistical support;3998492042499790;21;;Johnsonfurt;327;531
2015;B;Focused secondary open system;4073227496418805,7159346387032080,7186917466536994;43;;Yeseniahaven;236;357
2013;S;Triple-buffered zero-defect array;5649357631317748,5893293071812901;4;;Davidland;487;895
2016;P;Universal high-level archive;9821346348660847;17;37;;225;382
2016;B;Seamless optimizing product;2275799333779168,8748367107449062;29;;Marciaport;271;699
2016;ZG;Managed eco-centric hardware;8533292199274586;31;14;;361;521
2016;FSaG;Compatible leadingedge challenge;9606486478028672,1376910945764891;21;30;;281;824
2015;BP;Customizable logistical approach;2922930725706889,1674773401625827,2680213629710193;49;12;;265;539
2016;JRaH;Decentralized national budgetary management;8293148607193232,5510528010958883;42;;Port Seanborough;150;812
2014;SI;Inverse multimedia model;6328867226130339;38;17;;294;444
2014;HaS;Streamlined grid-enabled encoding;1750367399155058,6413140277984870,9264287531729077;11;24;;198;610
2016;MP;Object-based logistical capacity;9407289539669638;49;15;;935;996
2015;AHaP;Stand-alone directional projection;2137128760644423;17;29;;251;849
2016;MP;Distributed static neural-net;1750367399155058,9606486478028672;12;28;;487;910
2013;J;Assimilated contextually-based success;9838454792036006;8;;Julieland;288;569
2016;HaS;Integrated eco-centric neural-net;5239942509087044,6601376839046843,1965133409445603;14;19;;91;160
2014;JRaH;Robust static firmware;1088342601060931,4993909389282629;40;;Gibsonland;28;168
2013;M;Devolved global hardware;2618873884046651;37;40;;639;891
2013;JRaH;Cloned actuating concept;5327108447296812;22;;Rogerston;103;381
2016;A;Persevering multi-state hierarchy;3722297188543195,3235375320367048;24;;New Christian;83;401
2016;W;Configurable logistical service-desk;1674773401625827;40;;Meganmouth;645;977
2013;T;Multi-lateral clear-thinking neural-net;8305208133103079,5244357431315552;40;35;;156;727
2013;GVaR;Horizontal cohesive time-frame;7931231762362917,7882810928845952;48;15;;489;637
2016;JRaH;Focused object-oriented encoding;2629063971493209,5327108447296812;28;;Austinview;215;826
2013;H;Self-enabling real-time service-desk;6268449287730388;24;;Georgeport;744;912
2014;MP;Face-to-face cohesive framework;7089503135500102,6337438064578677;10;14;;320;938
2013;AaS;Realigned national help-desk;2046442917813182,1750367399155058,1135004726057093;13;;West Christineburgh;751;902
2015;W;Organic 4thgeneration core;9770465873129031,8031405438641992,3998492042499790;24;;Port Larry;736;852
2014;HaS;Mandatory impactful algorithm;3998492042499790,5262540415992174,1674773401625827;47;13;;115;454
2016;FSaG;Mandatory multimedia hardware;2046442917813182,2137128760644423,2629063971493209;48;12;;879;885
2014;YI;Adaptive dynamic ability;1088342601060931,8041631349517756,5262528182041271;16;36;;106;996
2015;AaS;Reduced asymmetric policy;4744077090897343,8305208133103079,9357483591910432;25;;Murrayborough;297;850
2016;YI;Fundamental incremental encryption;9770465873129031,1088342601060931,9264287531729077;4;12;;333;908
2015;A;Monitored responsive artificial intelligence;8293148607193232,9143802460662726,1582807585616034;30;;Thompsontown;732;859
2014;J;Pre-emptive tangible extranet;3998492042499790,4993909389282629;12;;South Kimberlyside;35;688
2014;CMaR;Integrated national system engine;7882810928845952,7159346387032080;21;;Santiagoborough;241;631
2015;G;Grass-roots zero administration task-force;7532796691578058,9885156202210321,2922930725706889;4;39;;123;134
2015;LI;Pre-emptive content-based matrix;9722744349841064,9264876264363724;4;13;;271;598
2016;CMaR;Sharable composite paradigm;8031405438641992,9407289539669638,3144341430664049;34;;Port Darren;260;872
2016;FI;Balanced encompassing toolset;9606486478028672,2922930725706889,9129638715325223;25;31;;192;940
2015;F;Phased motivating data-warehouse;1965133409445603,8031324513185618;10;;Johnsonville;203;724
2014;G;Centralized coherent functionalities;5262540415992174,5510528010958883,7089503135500102;4;34;;50;884
2013;Z;Centralized value-added secured line;7683234841793745,9143802460662726,2904391767971119;30;;Harveymouth;327;787
2013;HL;Decentralized bandwidth-monitored orchestration;4541272142642528;17;11;;401;579
2014;VGaA;Universal optimizing function;1376910945764891;30;33;;95;253
2016;MI;Up-sized non-volatile firmware;4073227496418805,1638745937944369;11;;South Kelly;40;736
2016;RaS;Grass-roots asynchronous focus group;9264876264363724;15;;Lake Matthew;600;882
2015;W;Devolved system-worthy throughput;2354218094325113,3998492042499790,5327108447296812;41;;Port Patriciamouth;556;570
2014;F;Public-key 4thgeneration infrastructure;1135004726057093,2487313480315695;18;;West Peter;114;922
2014;BG;Multi-layered exuding Local Area Network;6467024971475515,8031324513185618,3323705253115932;24;28;;350;802
2014;AHaM;Devolved contextually-based orchestration;9821346348660847;47;22;;488;591
2016;Z;Front-line explicit budgetary management;4073227496418805;42;;New Richardtown;603;794
2014;B;Fully-configurable directional hardware;6413140277984870;2;;Woodardmouth;418;563
2016;T;Down-sized responsive leverage;4993909389282629,4073227496418805;3;36;;394;794
2015;WL;Customer-focused homogeneous synergy;7882810928845952;17;15;;72;845
2013;BP;Polarized demand-driven hierarchy;9821346348660847;19;44;;594;1000
2015;AHaP;Robust client-driven conglomeration;9722744349841064,9357483591910432,4671743840601591;37;4;;264;737
2014;H;Advanced interactive standardization;5649357631317748,9770465873129031;26;;Tinahaven;814;989
2015;N;Re-engineered attitude-oriented emulation;8845454042159474,4736383437295147;5;;Laurenview;108;906
2016;PI;Robust reciprocal website;5485081027172277,4736383437295147,7882810928845952;28;10;;167;539
2015;LI;Phased radical process improvement;9941630418391841,3323705253115932,1135004726057093;6;37;;148;411
2015;P;Decentralized content-based middleware;2637674440233374,5262540415992174;38;40;;170;886
2014;MP;Pre-emptive zero tolerance attitude;4478081765633457,1750367399155058;49;1;;5;55
2015;MP;Universal grid-enabled array;7412604949576097;9;34;;204;271
2015;G;Quality-focused national migration;5700469223617587,4993909389282629,9357483591910432;40;27;;47;140
2015;B;Upgradable radical system engine;6601376839046843,4744077090897343;32;;Quinnshire;466;709
2016;WRaP;Re-contextualized system-worthy task-force;1965133409445603;25;;Timothyview;136;456
2016;TG;Customizable 4thgeneration monitoring;9941630418391841,3722297188543195;18;;Jefferyfurt;712;989
2016;RL;Public-key value-added access;1674773401625827;12;;North Misty;815;959
2014;FI;Object-based incremental knowledge user;6268449287730388;20;30;;303;566
2013;HL;Expanded mobile parallelism;9722744349841064,8936625000762564,4671743840601591;18;43;;116;652
2013;BWaH;Extended motivating process improvement;4736383437295147,3144341430664049;47;;Rodriguezhaven;46;312
2014;WL;Cross-platform radical standardization;6832903342497770;17;7;;296;852
2016;M;De-engineered bifurcated concept;9838454792036006,3998492042499790;13;47;;415;436
2014;G;Future-proofed motivating secured line;9143802460662726,5327108447296812;17;34;;311;851
2013;F;Proactive asymmetric hardware;5700469223617587,6268449287730388,1750367399155058;43;;Grantland;388;666
2013;CMaR;Synergistic user-facing ability;5262528182041271,9941630418391841;50;;North Wendychester;162;438
2016;YI;Secured bottom-line algorithm;8031324513185618,2503751282303117;14;8;;516;786
2013;BI;Inverse next generation open system;9722744349841064,7089503135500102,7514631069021629;48;;Angelaborough;180;995
2015;AHaM;Configurable optimizing paradigm;5954767672734150;21;23;;369;847
2014;ML;Team-oriented fresh-thinking forecast;2046442917813182;38;28;;305;690
2016;RaS;User-friendly empowering function;8936625000762564;14;;Louisfurt;567;877
2013;F;Streamlined directional artificial intelligence;9821346348660847;38;;North Sarah;246;590
2015;N;Monitored scalable intranet;6328867226130339,2503751282303117;14;;Booneland;250;297
2014;T;Triple-buffered object-oriented definition;4478081765633457,5485081027172277,4671743840601591;14;48;;555;793
2016;FI;Visionary modular leverage;7043858660461973,3144341430664049,4671743840601591;25;34;;692;872
